date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:22	64159/64159	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:11%20GMT	https://risis.in/dispute-resolution/	C:/My%20Web%20Sites/risis/risis.in/dispute-resolution/index.html	(from https://risis.in/)
18:49:22	64191/64191	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:11%20GMT	https://risis.in/bank-finance/	C:/My%20Web%20Sites/risis/risis.in/bank-finance/index.html	(from https://risis.in/)
18:49:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Sep%202023%2017:49:20%20GMT	http://demo.acmethemes.com/lawyer-zone/wp-content/uploads/2018/07/pexels-photo-overlayed.jpg	C:/My%20Web%20Sites/risis/demo.acmethemes.com/lawyer-zone/wp-content/uploads/2018/07/pexels-photo-overlayed.2b.delayed	(from https://risis.in/)
18:49:23	65085/65085	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:13%20GMT	https://risis.in/vibhanshu-srivastava/	C:/My%20Web%20Sites/risis/risis.in/vibhanshu-srivastava/index.html	(from https://risis.in/)
18:49:25	64466/64466	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:16%20GMT	https://risis.in/suyash-manjul/	C:/My%20Web%20Sites/risis/risis.in/suyash-manjul/index.html	(from https://risis.in/)
18:49:25	64785/64785	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:16%20GMT	https://risis.in/william-stiller/	C:/My%20Web%20Sites/risis/risis.in/william-stiller/index.html	(from https://risis.in/)
18:49:26	64739/64739	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:16%20GMT	https://risis.in/nirmit-srivastav/	C:/My%20Web%20Sites/risis/risis.in/nirmit-srivastav/index.html	(from https://risis.in/)
18:49:26	160080/160080	---M--	200	added ('OK')	image/jpeg	etag:%2227150-5b4dae86-3e8c93;;;%22	https://demo.acmethemes.com/lawyer-zone/wp-content/uploads/2018/07/pexels-photo-overlayed.jpg	C:/My%20Web%20Sites/risis/demo.acmethemes.com/lawyer-zone/wp-content/uploads/2018/07/pexels-photo-overlayed.jpg	(from https://risis.in/)
18:49:28	63941/63941	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:19%20GMT	https://risis.in/are-there-any-other-requirements-for-participating-in-the-network/	C:/My%20Web%20Sites/risis/risis.in/are-there-any-other-requirements-for-participating-in-the-network/index.html	(from https://risis.in/)
18:49:29	63752/63752	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:19%20GMT	https://risis.in/what-services-do-we-provide/	C:/My%20Web%20Sites/risis/risis.in/what-services-do-we-provide/index.html	(from https://risis.in/)
18:49:29	63824/63824	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:20%20GMT	https://risis.in/what-types-of-lawyers-are-in-the-lawyer-zone-network/	C:/My%20Web%20Sites/risis/risis.in/what-types-of-lawyers-are-in-the-lawyer-zone-network/index.html	(from https://risis.in/)
18:49:30	45859/45859	---M--	200	added ('OK')	image/jpeg	etag:%22bddd15eab6ed70da%22	https://i0.wp.com/risis.in/wp-content/uploads/2018/07/pexels-photo-1000740.jpeg?fit=640%2C427&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2018/07/pexels-photo-1000740b7e0.jpg	(from https://risis.in/)
18:49:32	63805/63805	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:23%20GMT	https://risis.in/what-types-of-clients-use-lawyer-zone/	C:/My%20Web%20Sites/risis/risis.in/what-types-of-clients-use-lawyer-zone/index.html	(from https://risis.in/)
18:49:32	63846/63846	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:23%20GMT	https://risis.in/gene-garam/	C:/My%20Web%20Sites/risis/risis.in/gene-garam/index.html	(from https://risis.in/)
18:49:33	63883/63883	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:24%20GMT	https://risis.in/madge-chavze/	C:/My%20Web%20Sites/risis/risis.in/madge-chavze/index.html	(from https://risis.in/)
18:49:33	29737/29737	---M--	200	added ('OK')	image/jpeg	etag:%22b37597f61cd1986b%22	https://i0.wp.com/risis.in/wp-content/uploads/2018/07/pexels-photo-864987.jpeg?fit=640%2C427&ssl=1	C:/My%20Web%20Sites/risis/i0.wp.com/risis.in/wp-content/uploads/2018/07/pexels-photo-864987b7e0.jpg	(from https://risis.in/)
18:49:34	509/509	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2001%20Oct%202022%2007:55:20%20GMT	https://risis.in/wp-content/plugins/wpforms-lite/assets/images/submit-spin.svg	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/wpforms-lite/assets/images/submit-spin.svg	(from https://risis.in/)
18:49:34	63778/63778	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:26%20GMT	https://risis.in/seth-coleman/	C:/My%20Web%20Sites/risis/risis.in/seth-coleman/index.html	(from https://risis.in/)
18:49:35	65018/65018	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:26%20GMT	https://risis.in/category/corporate-case/	C:/My%20Web%20Sites/risis/risis.in/category/corporate-case/index.html	(from https://risis.in/)
18:49:36	40955/40955	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2007:55:20%20GMT	https://risis.in/wp-content/plugins/wpforms-lite/assets/css/wpforms-full.min.css?ver=1.7.7	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/wpforms-lite/assets/css/wpforms-full.min1a7b.css	(from https://risis.in/)
18:49:37	69577/69577	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:27%20GMT	https://risis.in/2018/07/16/what-does-weapons-law-mean-for-you/	C:/My%20Web%20Sites/risis/risis.in/2018/07/16/what-does-weapons-law-mean-for-you/index.html	(from https://risis.in/)
18:49:38	685/685	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20May%202023%2016:56:27%20GMT	https://risis.in/wp-content/plugins/jetpack/_inc/build/photon/photon.min.js?ver=20191001	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/jetpack/_inc/build/photon/photon.min1c52.js	(from https://risis.in/)
18:49:42	69457/69457	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:33%20GMT	https://risis.in/2018/07/16/us-sues-california-over-immigration-laws/	C:/My%20Web%20Sites/risis/risis.in/2018/07/16/us-sues-california-over-immigration-laws/index.html	(from https://risis.in/)
18:49:42	64938/64938	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:33%20GMT	https://risis.in/category/gun-crimes/	C:/My%20Web%20Sites/risis/risis.in/category/gun-crimes/index.html	(from https://risis.in/)
18:49:42	63799/63799	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2017:49:34%20GMT	https://risis.in/category/criminal-case/	C:/My%20Web%20Sites/risis/risis.in/category/criminal-case/index.html	(from https://risis.in/)
18:49:43	42863/42863	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Sep%202022%2016:09:35%20GMT	https://risis.in/wp-content/plugins/gutentor/assets/library/slick/slick.min.js?ver=1.8.1	C:/My%20Web%20Sites/risis/risis.in/wp-content/plugins/gutentor/assets/library/slick/slick.minc245.js	(from https://risis.in/)
